40, 70, 191.47922051733303, 24, 52, 8, 148, 0, 1675816074078, 1675816075123, [30, 4, 6], [1, 0], 646.8892585045035
30, 70, 184.5464070430393, 18, 40, 7, 148, 0, 1675816113765, 1675816114889, [40, 4, 6], [-1, 0], 823.867888584997
20, 60, 191.84691995980876, 11, 15, 7, 23, 0, 1675816153350, 1675816154393, [30, 4, 5], [-1, -1], 1625.8213555915997
10, 60, 191.93928676687298, 15, 29, 7, 47, 0, 1675816192811, 1675816193852, [20, 4, 5], [-1, 0], 1078.310599813893
20, 70, 191.38773506809375, 13, 23, 7, 38, 0, 1675816232279, 1675816233473, [10, 4, 5], [1, 1], 1275.9182337872917
10, 70, 192.30769230769232, 14, 24, 7, 42, 0, 1675816271964, 1675816273005, [20, 4, 5], [-1, 0], 1201.923076923077
20, 80, 191.84656691258607, 10, 15, 7, 26, 0, 1675816311417, 1675816312461, [10, 4, 5], [1, 1], 1744.059699205328
10, 80, 192.21568058760175, 17, 38, 7, 58, 0, 1675816350870, 1675816351916, [20, 4, 5], [-1, 0], 906.677738620763
20, 90, 191.0221417833112, 12, 16, 8, 27, 0, 1675816390336, 1675816391383, [10, 4, 5], [1, 1], 1492.3604826821188
10, 90, 190.47774539656106, 21, 39, 8, 162, 0, 1675816430028, 1675816431069, [20, 4, 5], [-1, 0], 774.299778034801
20, 100, 190.29926415203664, 13, 24, 7, 46, 0, 1675816469723, 1675816470760, [10, 4, 5], [1, 1], 1251.968843105504
10, 100, 190.66625952422498, 11, 20, 5, 33, 0, 1675816509206, 1675816510263, [20, 4, 5], [-1, 1], 1489.5801525330078
20, 100, 190.02379585396062, 13, 25, 7, 45, 0, 1675816548709, 1675816550256, [10, 4, 5], [1, 1], 1233.9207522984457
